,sales_record_id,sales_order_id,created_date,created_time,last_updated_date,last_updated_time,sales_staff_id,counterparty_id,units_sold,unit_price,currency_id,design_id,agreed_payment_date,agreed_delivery_date,agreed_delivery_location_id
0,462,951,2023-02-21,08:44:09.965000,2023-02-21,08:44:09.965000,17,5,19533,2.05,1,63,2023-02-27,2023-02-22,30
1,458,1033,2023-02-27,14:37:09.817000,2023-02-27,14:37:09.817000,14,13,22770,2.33,1,68,2023-03-03,2023-03-02,14
2,419,808,2023-02-13,08:58:09.942000,2023-02-13,08:58:09.942000,4,3,9259,2.11,3,34,2023-02-17,2023-02-15,1
3,456,928,2023-02-20,11:57:10.102000,2023-02-20,11:57:10.102000,7,10,45274,2.23,1,67,2023-02-25,2023-02-21,14
4,437,858,2023-02-15,11:25:10.489000,2023-02-15,11:25:10.489000,9,1,30806,2.21,1,40,2023-02-19,2023-02-17,11
5,457,1008,2023-02-24,09:43:10.192000,2023-02-24,09:43:10.192000,3,6,62626,2.92,3,64,2023-02-28,2023-03-03,22
6,406,1001,2023-02-23,18:30:10.345000,2023-02-23,18:30:10.345000,4,13,86546,3.79,2,20,2023-02-24,2023-02-26,29
7,427,308,2023-01-11,09:34:10.338000,2023-01-11,09:34:10.338000,11,2,63984,3.29,3,33,2023-01-11,2023-01-14,28
8,433,772,2023-02-09,11:21:09.954000,2023-02-09,11:21:09.954000,12,7,90191,3.83,2,41,2023-02-15,2023-02-11,15
9,449,1034,2023-02-27,15:25:10.283000,2023-02-27,15:25:10.283000,10,4,3086,2.95,1,55,2023-03-03,2023-02-28,12
10,475,5,2022-11-03,14:20:52.186000,2022-11-03,14:20:52.186000,18,4,49659,2.41,3,7,2022-11-08,2022-11-05,25
11,402,980,2023-02-22,12:14:09.847000,2023-02-22,12:14:09.847000,20,14,3641,2.26,3,14,2023-02-25,2023-02-28,20
12,446,1015,2023-02-24,14:09:09.717000,2023-02-24,14:09:09.717000,8,13,96291,2.65,1,44,2023-03-02,2023-02-28,4
13,443,964,2023-02-21,15:14:09.889000,2023-02-21,15:14:09.889000,20,18,60936,3.41,2,54,2023-02-27,2023-02-28,10
14,397,996,2023-02-23,14:54:09.885000,2023-02-23,14:54:09.885000,5,18,35251,3.07,2,2,2023-02-23,2023-03-01,4
15,407,699,2023-02-06,13:26:09.834000,2023-02-06,13:26:09.834000,8,7,4841,3.24,1,17,2023-02-11,2023-02-11,11
16,455,1044,2023-02-28,12:10:10.901000,2023-02-28,12:10:10.901000,2,7,91037,3.65,3,62,2023-03-02,2023-03-01,26
17,399,971,2023-02-21,17:44:10.148000,2023-02-21,17:44:10.148000,4,14,59171,3.46,1,13,2023-02-23,2023-02-22,28
18,403,972,2023-02-22,08:46:10.185000,2023-02-22,08:46:10.185000,7,19,11785,3.89,1,15,2023-02-23,2023-02-24,16
19,426,1000,2023-02-23,17:03:09.945000,2023-02-23,17:03:09.945000,11,8,12776,3.96,3,32,2023-02-24,2023-02-25,3
20,405,909,2023-02-17,16:06:10.227000,2023-02-17,16:06:10.227000,1,10,77810,3.67,2,16,2023-02-22,2023-02-20,10
21,452,1027,2023-02-27,12:48:09.947000,2023-02-27,12:48:09.947000,2,6,45626,3.07,1,59,2023-03-02,2023-03-02,27
22,434,1014,2023-02-24,13:54:10.129000,2023-02-24,13:54:10.129000,15,17,86702,2.16,2,43,2023-02-28,2023-03-01,26
23,400,1038,2023-02-27,17:10:10.093000,2023-02-27,17:10:10.093000,7,1,36650,2.53,3,5,2023-03-05,2023-02-28,8
24,439,1046,2023-02-28,13:08:09.852000,2023-02-28,13:08:09.852000,8,19,12068,2.81,1,51,2023-03-03,2023-03-03,6
25,436,966,2023-02-21,15:39:09.839000,2023-02-21,15:39:09.839000,1,15,95490,3.71,1,47,2023-02-22,2023-02-26,24
26,422,856,2023-02-15,10:19:10.379000,2023-02-15,10:19:10.379000,10,1,12863,3.84,2,28,2023-02-15,2023-02-16,20
27,393,926,2023-02-20,11:42:10.215000,2023-02-20,11:42:10.215000,2,5,31099,2.47,2,9,2023-02-25,2023-02-20,4
28,444,937,2023-02-20,13:54:10.134000,2023-02-20,13:54:10.134000,9,9,95371,2.53,3,50,2023-02-23,2023-02-24,14
29,412,936,2023-02-20,13:25:10.474000,2023-02-20,13:25:10.474000,1,6,73253,2.4,2,24,2023-02-20,2023-02-24,30
30,460,958,2023-02-21,13:01:10.625000,2023-02-21,13:01:10.625000,1,4,3394,2.45,1,70,2023-02-24,2023-02-22,23
31,423,1048,2023-02-28,13:57:10.200000,2023-02-28,13:57:10.200000,6,14,62716,2.55,2,31,2023-03-01,2023-03-03,28
